铁	煤
难兄难弟	好夫好妻
头青眼肿	鼻塌嘴歪
客来扫地	贼过关门
放开眼界	立定脚跟
暮云合璧	落日熔金
文采风流	旷性怡情
勒车啃象	顺手牵羊
头脑发热	心血来潮
千篇一律	十室九空
竹影参差	鸟声上下
二分水竹	一半城郊
四德为首	万民常怀
金花玉屑	翠色冷光
越吴锦绣	优孟衣冠
红心暖客	巧手回春
酸甜乐府	啼笑姻缘
朝花夕拾	故事新编
城乡互助	厂矿联盟
国家伟器	名教完人
广开财路	巧管资金
物华绚彩	宫锦标奇
伐薪作炭	合束为柴
曹庄杀狗	陈慥变羊
白云情意	清泉洗心
丰盈百货	萃集八方
八仙过海	各显其能
甲子巡检	丙妹县丞
与鬼为邻	望洋兴叹
漫天讨价	坐地分脏
孙承祖志	孟受曾传
雪中送炭	锦上添花
闻鸡起舞	对牛弹琴
瓜熟蒂落	水到渠成
见风使舵	过河拆桥
花花世界	朗朗乾坤
亡羊补牢	调虎离山
遗世独立	与天为徒
湛郎及第	彭伉落驴
聊复尔尔	对此茫茫
着着着着	差差差差
有根有本	无尽无休
风吹草动	水涨船高
养儿防老	积谷防饥
脚下有路	榜上无名
六亲不认	一事无成
一时高兴	千载难逢
高超碧落	俯视红尘
大腹便便	两手空空
祸中得福	死里逃生
一言为定	驷马难追
站稳脚步	硬着头皮
差之毫厘	失之千里
人穷志短	财大气粗
人澹如菊	口逸于梅
改邪归正	弃旧迎新
自寻烦恼	枉费心机
宁为玉碎	不为瓦全
养军千日	用在一朝
苦中作乐	忙里偷闲
多多益善	绰绰有余
干国家事	读圣贤书
不胫而走	有口难言
开笼放鸟	打草惊蛇
抛砖引玉	买椟还珠
风生莱彩	云想花容
辛辛苦苦	跌跌爬爬
莫名其妙	不知所云
阴魂不散	好事多磨
胡言乱语	倒行逆施
财源茂盛	生意兴隆
一襟和气	万斛宽胸
情书一束	狂言十番
饱览春色	明察秋毫
露根固本	仙草延年
准风月谈	伪自由书
小器易盈	穷坑难满
戏有高雅	台无俗情
初春之梦	昨日之花
鸾笙凤管	铁板铜琶
涛听东浙	印话西泠
小子登楼	大人入阁
三生有幸	一见钟倩
恢宏先绪	垂裕后昆
水底捞月	雪上加霜
隔靴搔痒	掩耳盗铃
哭笑不得	反复无常
守株待兔	打草惊蛇
瓜熟蒂落	藕断丝连
怀奇令史	梵响将军
移花接木	倒树寻根
弹丝吹竹	戛玉敲金
六根清净	八节平安
瓮中捉鳖	海底捞针
头头是道	娓娓动听
天诛地灭	鬼哭神嚎
春风满面	顾客盈门
闻鸡起舞	跃马攻关
人欢马叫	春好景新
香飘四季	绿满九洲
一团和气	四面春风
一尘不染	众客无欺
砚磨雾起	笺染云生
千军易得	一将难求
三生有幸	一窍不通
指鹿为马	杀鸡吓猴
打退堂鼓	敲上场锣
一尘不染	两袖清风
友天下士	读古人书
今宵消夏	明晌赏花
诗人千古	千古诗人
图成耕织	诗集攸同
四时为柄	万象皆春
怀仁者寿	重义者昌
怀仁者寿	载道者刚
凭栏读月	倚榭听香
狗仗人势	狐假虎威
一蹶不振	三思而行
怨声载道	怒气冲天
茕茕孑立	默默无闻
凤游云海	鱼跃江天
银丝玉叶	乳酪膏腴
吊民伐罪	继往开来
干变万化	三教九流
跃跃欲试	侃侃而谈
有药皆妙	无丹不灵
乌衣望族	凤羽名流
云水风度	松柏气节
有容乃大	无欲则刚
民生在勤	君子无逸
以文会友	同师曰朋
山高月小	天淡云闲
山西安顺	河北平凉
霸王访客	和尚做媒
野心勃勃	众自睽睽
草草了事	芸芸众生
交流百货	信诺千金
待东边月	傲南面王
劳而无功	动辄得咎
江边卖水	门缝看人
冯驩焚券	孟尝留名
南腔北调	东倒西歪
勾肩搭背	抓耳挠腮
顾我则笑	问道于盲
放马后炮	点佛前灯
交头接耳	促膝谈心
钟馗嫁妹	霸王别姬
尽人之力	为国生财
入情入理	无法无天
漫江碧透	层林尽染
当头事业	到顶功夫
奇谈怪论	冷嘲热讽
洛阳才子	南国佳人
少说废话	免开尊口
有问必答	无话不谈
一天明月	五柳清风
卧薪励志	送炭蒙恩
算粮登殿	打棍出箱
心标日月	义贯乾坤
蜜中露饯	干里藏鲜
履净法界	护胜善根
令出爱狱	永得大安
调羹和味	取精用宏
传邮万里	送信千家
以玩带笑	借题发挥
大烹以养	小住为佳
事中写趣	海外扬名
倚门卖俏	借酒浇愁
空空如也	碌碌无为
驴喊马叫	兔死狐悲
岐阳启姓	濂水分源
琴瑟在御	笙磐同声
酒能乱性	茶可清心
皇建福极	位在德元
佛天佛日	寿世寿民
赴义至勇	秉节有方
安危同仗	甘苦共尝
凭栏读月	把酒吟诗
凭栏读月	横槊赋诗
文行忠信	怪力乱神
酒肉朋友	柴米夫妻
口快心直	眼高手低
痴猫守窟	猛虎下山
抱残守缺	博古通今
火中取栗	笑里藏刀
屎到屁眼	火烧眉毛
三长两短	七高八低
双南品重	千镒名高
归心似箭	望眼欲穿
兵临城下	火上屋梁
消声匿迹	画影图形
箭无虚发	兵不在多
三锅两灶	一箭双雕
兵马齐备	文武双全
虎头蛇尾	鸡毛蒜皮
惊天动地	戴月披星
无孔不入	有空必钻
芳郊绿遍	小径红稀
且食蛤蜊	安问狐狸
交流信息	编印文章
以钱投保	为险除忧
新香嫩色	淡绿微黄
心明似月	貌美如仙
眉清目秀	肚大腰圆
一囊春贮	九鼎云英
云霞万影	丝竹千声
精心炮制	热诚经营
韩康利薄	橘井泉甜
仙老此洞	痴大于黄
海上神山	仙人旧馆
阳律阴吕	玉振金声
同堂四代	脊令三君
高风亮节	阳春白雪
亲仇不避	举荐性公
虚心惟竹	解语有花
木能交让	水亦流谦
秋菊堪餐	春兰可佩
刚毅多略	文雅少俦
钧天乍奏	奋地初鸣
光明正大	朴诚坚贞
双轮鼓浪	一笛回风
秉心真实	矢口贞诚
证菩提道	得坚固身
善悟无碍	永得大安
发无上意	得总持门
三江美味	四海奇珍
冰桃雪藕	绿桔黄橙
永持梵行	勤修善根
端正严好	清净调柔
体解大道	饶益众生
开畦剪棘	灌圃浇蔬
龙团凤饼	雀舌蝉膏
风过雪野	月上梅梢
入深法界	获胜善根
软菘带露	早韭含春
萍蘩蕴藻	蜃蛤鱼盐
说长道短	惹是生非
当面说谎	看人对汤
走南闯北	指东划西
根深蒂固	叶茂枝荣
寒玉作响	飞泉仰流
凭栏读月	倚榭吟风
素月分影	明河共辉
高山流水	皓月行空
金气多寿	匠心自工
文可治国	武能安邦
当局者迷	旁观者清
四时佳品	一店鲜活
黄花满地	白柳横坡
貌似公正	礼尚往来
人多嘴杂	食少事烦
桃红柳绿	月白风清
借沟出水	越俎代庖
光杆司令	火头将军
人淡似菊	屋小如舟
愿圣人寿	近天子光
蒙庆受福	长乐永康
静以修身	俭以养德
山川异域	风月同天
冰清似玉	心美如金
高风冠世	颖慧超群
奸超秦桧	佞胜赵高
有慈禧毒	无武后才
纳之大麓	藏之名山
山中日出	水里风来
朝发夕至	送往迎来
发扬风雅	歌舞太平
心贞昆玉	志烈冰霜
松筠雅操	铁石深衷
笃礼崇义	抱淑守真
说甚深法	升无上堂
深入佛智	得预法流
见一切佛	升无上堂
藏器学海	崇德效山
人言难测	形迹可疑
得天独厚	来日方长
正人君子	乱世英雄
博学于文	行已有耻
饼名五福	糕谓重阳
金钗十二	珠履三千
置邮传命	为政在人
一着不慎	满盘皆输
究竟清净	具足威仪
韩潮苏海	陶菊周莲
吾党战士	民族英雄
文为人表	礼是身基
诚贯皎日	节励严霜
多拉快跑	稳卸轻装
具头陀行	得坚固身
住深法性	得上善根
甚深功德	无上清凉
常得正念	普行大慈
见法如幻	以道自娱
水满则溢	月盈则亏
抱素怀朴	安性约身
澡身浴德	矩步规行
事亲为大	养志宜先
入真实慧	得坚固身
断除烦恼	具足菩提
八丈蛇矛	三寸蝇镖
山间明月	江上清风
开心字典	悦目诗经
幽思有迹	了梦无痕
居处以恭	执事惟敬
浇树浇根	交人交心
群居守口	独坐防心
松生千仞	鹤鸣九皋
所行无碍	以法自娱
节以制度	俭为德共
室靡弃物	家无闲人
豚鱼可格	金石为开
催笋成竹	润花著果
香漫清野	色压芳邻
入一切智	升无上堂
升无上道	得正法流
铅熔月晕	码逐星流
获最胜法	升无上堂
绝世贪爱	趣佛菩提
舍离众恼	成就佛身
落花有意	流水无情
旧时月色	本地风光
书为心画	画乃意书
云纱罩月	柳线织春
和声鸣盛	感物通灵
江山第一	风景四时
军人模范	民族光荣
小山承盖	大河前横
金戈铁马	火树银花
中央宛在	一半勾留
传道受业	奏雅歌诗
三心彻悟	一念回光
江山富美	社稷安祥
安床枕月	卧榻眠风
具足惭愧	究竟清凉
振兴文教	乐育英才
明体达用	论秀书升
两淮文献	万世师模
杜奸裕运	秉掣持平
腾蛟起凤	紫电青霜
汉唐古郡	淮海名区
心清梦静	气定神闲
真才济世	妙手回天
江山如画	鱼鸟亲人
效梅傲霜	学竹虚心
昼夜不舍	天地同流
云帆挂露	月影悬霜
从容是乐	坦荡无忧
湖南佛国	震旦灵山
玉成桃李	海涌波澜
江山富美	日月康佳
愿闻己过	乐道人善
大千世界	第一江山
水天一色	梅竹双清
大江东去	群山西来
山随画转	云为诗留
群鸿戏海	众鹤游天
紅塵有色	风月无边
苍山雾岭	碧海虹云
银川丽水	青海宁波
晴耕雨読	雪砌风雕
门无凤字	座有鸡言
术有专攻	业精于勤
岩高奔虎	松老飞龙
山谷鸟韵	水流花香
金戈铁马	玉树琼枝
德兴廉吏	元质教官
聚多冠盖	春满壶觞
从容是乐	平淡为福
节高拒马	理悟谈鸡
逸情霞举	峻节山高
明廷圭璧	文苑英华
洁廉世望	风雅诗宗
席传易学	业擅礼经
仙游龙海	日照虎丘
安贞之吉	永矢弗谖
安平遣仄	赋对吟诗
义疏三礼	史擅九朝
孟章廉吏	西河武襄
襄阳博士	长通参谋
妙龄少女	仙界山人
羲经画泰	羽道诗仙
真怕非典	假装正经
甘瓜苦蒂	辣女酸儿
马来西亚	鹤落东山
奔腾网络	游戏社区
齐驱并驾	比翼双飞
山居爽气	碧野清风
半盏清茶	一个坏蛋
碧野清风	长虹彩电
孤芳自赏	比翼双飞
德润天地	绥安境边
江山富美	岁月安康
江山富美	岁月祥和
因岩制屋	对树开门
弦歌渺矣	吾道非耶
滏水东渐	紫气西来
为善最乐	作德日庥
随时而动	不叩自鸣
青山不老	碧水常流
棋逢对手	将遇良才
山川毓秀	松柏常青
行千里路	读万卷书
朗吟经史	默赏丹青
惟酒无量	有仙则名
皇极经世	帝范治国
皇极经世	圣教化人
一州冠冕	五部侍郎
水清日丽	木华春荣
境由心造	情自爱生
云天驰马	雾海擒龙
望出渤海	名播山阴
道学千士	纲目一人
谯郡望族	宗仁名官
图穷匕现	藕断丝连
香林法雨	瑞气祥光
天台教观	普摄群机
诗书饱腹	酒色迷心
察人律己	鉴古知今
湘潭博士	荆溪孝廉
望厓骁骑	文擅骄龙
太朴云林	工部春山
千秋良史	百代儒臣
洛阳推隽	颖水腾华
石门教授	吴市高风
天人三策	兄弟五奇
高山仰止	大河前横
让为礼宗	谦能受益
声歌盛世	乐庆丰年
澄清海甸	保障东南
顺天友石	梁若居松
梅寒而秀	竹瘦而寿
惟楚有材	于豳斯馆
半盏清茶	一群浑蛋
幽思有迹	壮志无涯
香香两两	黛黛双双
千栌赫奕	万拱梭层
诗书饱腹	翰墨怡心
北宫史表	东国人伦
登高长志	望远生情
浮光掠影	漂亮观音
虽能悦耳	只会学舌
彝水环绕	明镜高悬
嵩呼万岁	天保九如
松风煮茗	竹雨谈诗
题花赋竹	镂月裁云
手探月穴	足浪天根
存在即佛	生命是缘
一吻无我	相拥不二
群峰壁立	千山叠翠
无欲最乐	有书便佳
学文求识	学艺步新
学无止境	教有所长
读万卷书	行万里路
夫妻恩爱	家庭祥和
大公无我	推己及人
泛舟沧海	立马昆仑
我为何生	生何为我
醉中才是	醒时已非
乱勿仕政	慈不用兵
云天驰马	蜀地卧龙
式昭纂庆	方融嗣徽
西方自在	法界皆春
临危不惧	海量能容
一元复始	万象更新
财源茂盛	人寿年丰
生意兴隆	财源茂盛
四海生色	五湖呈祥
春风送暖	大地回春
百花齐放	万木争荣
抬头见喜	举步生风
五金利市	万象回春
人欢马叫	春和景明
党兴军旺	法严政明
鸿鹄得志	桃李争春
江山壮伟	桃李芬芳
东风化雨	政策归心
心上美景	窗外红梅
树头银花	心上春光
说真心话	做老实人
心存爱国	志在为人
主欢客乐	近说远来
福星高照	万事亨通
勤能补拙	俭以养廉
物华天宝	人杰地灵
八路进宝	四方来财
岁通盛世	人逢华年
蒸蒸日上	欣欣向荣
莫看人短	不恃己长
人勤春早	国泰民安
一年开始	百业兴隆
风和日丽	人杰地灵
着眼未来	立足本职
淡泊明志	平易近人
克勤克俭	为国为民
一人参军	全家光荣
人心喜暖	鸟语辞寒
春风催绿	江山映红
江山永秀	祖国万春
学如不及	业精于勤
心向祖国	志在四方
人勤春好	民富国强
英豪济济	阵势堂堂
百花齐放	九州同春
闻鸡起舞	跃马争春
高歌猛进	勇往直前
城乡比翼	工农齐飞
九州日丽	四海春新
山欢水笑	物阜民康
台湾当归	祖国统一
欢天喜地	吐气扬眉
春回大地	日暖神州
劳动门第	幸福家庭
九州增色	四海皆春
江山如画	祖国万春
龙腾虎跃	燕舞莺歌
文明经商	礼貌待客
春光永驻	喜迎新春
祥云瑞气	吉庆有余
吉祥如意	喜气盈门
惠风和畅	瑞气临门
春华秋实	人寿年丰
江山似锦	祖国万春
国富民强	人寿年丰
独立自主	自力更生
爆竹辞旧	桃符迎新
一国两制	同舟共荣
九州日丽	四化春新
九州共庆	两岸同春
九州生色	两岸连心
九州生瑞	四海腾欢
九州安定	万众团结
十分春色	万里鹏程
人民伟大	政策英明
人民万岁	祖国永昌
人和政稳	世盛邦兴
人和政美	国泰民安
人勤春早	民富国强
人间改岁	天下皆春
人逢盛世	岁值年华
人逢盛世	鸟唱新春
人勤春早	物阜年丰
人勤物阜	国泰民安
三阳启泰	四化兴邦
三通国瑞	两制人祥
千门大喜	万户高歌
万方有吉	四季呈祥
万民有庆	四海皆春
万民有庆	百族共中
万事如意	四季平安
山青水秀	国泰民安
山河溢彩	岁月流金
山河似锦	岁月更新
小康在望	大业敢攀
天增岁月	春满京城
云霞锦绣	道路康庄
五星永耀	四化长兴
五星拔地	四柱擎天
长空溢彩	大地流金
风光胜旧	岁月更新
风和日丽	人勤地丰
风流四化	富裕千家
凤鸣盛世	龙有传人
心存四化	手绣三春
化臻上理	福享共和
斗星指路	旭日辉春
巨龙奋起	祖国繁荣
东风指面	喜气盈门
业兴来者	龙有传人
民欢大有	国庆小康
国强民富	人寿年丰
弘开盛纪	欢度新春
百花齐放	万象更新
百花齐放	四海同春
百花齐放	万福频臻
百年盛纪	一代精英
过年最乐	读书更佳
同奔四化	共奉一心
同迎盛纪	共贺新春
同创大业	共绘鸿图
团结治国	实干兴邦
行臻康泰	志展宏图
华灯飞彩	喜炮放红
华灯溢彩	喜报迎春
华坛竞秀	文苑争芳
年丰人乐	国富民强
自强不息	民志长生
光辉世纪	春满神州
江山如画	大地皆春
江山壮丽	桃李芬芳
齐歌四化	共庆三春
红旗映日	白雪迎春
红旗映日	白雪连天
红旗引路	翠柳迎春
红旗映日	瑞雪迎春
红梅映日	绿柳催春
花香世纪	福满门庭
励精图治	除旧布新
财亲智慧	福伴文明
迎春接福	除旧布新
欣逢盛世	喜庆新年
国兴两制	户纳千祥
国臻大治	民乐小康
金瓯永固	玉宇长清
河山溢彩	华夏增辉
法制天下	春满人间
城乡比翼	山海扬辉
春回大地	国振雄风
春风化雨	壮志凌云
春风及第	政策归心
春风得意	丽日舒怀
春和景秀	物阜民康
春光似海	盛世如花
春光满面	瑞气盈门
春光满院	瑞气盈门
春光永驻	特色频臻
春光播福	和气致祥
春临大地	喜到人间
春临大地	福满人间
柳丝垂岸	燕尾点波
科学致富	勤俭持家
神州巨变	祖国腾飞
神州巨变	世纪更新
桃李争艳	春色满园
党恩浩荡	春意盎然
积极进取	勇敢拼搏
家传美德	国展宏图
梅开春色	国展宏图
梅花笑雪	柳浪推春
梅传喜讯	雪兆丰年
移风易俗	除旧布新
铲除腐败	保持清廉
着眼四化	立足本职
喜辞旧岁	笑迎新春
喜登新纪	乐步锦程
雄文五卷	伟业千秋
储金备患	积谷防荒
鼎新革旧	豫立亨通
群芳斗艳	百业争雄
鹊传喜报	风送佳音
福随春至	富伴勤来
神猴辞岁	金凤迎春
东风解冻	春日载阳
梅开五福	竹报三多
金鸡报晓	丹凤来仪
春和景丽	国泰民安
一家瑞气	万里春光
一堂春色	七巧良缘
鸡鸣晓旦	燕舞阳春
百业兴旺	五谷丰登
诗书门第	礼义人家
一派正气	两袖清风
山青水秀	地利人和
三阳开泰	两岸连心
三星拱户	四柱擎天
五星高照	四海欢腾
年年大发	岁岁有余
江山不老	祖国长春
一帆风顺	四季平安
三通国瑞	两制邦兴
新春伊始	福寿即来
雄鸡唱韵	大地回春
四时为柄	万象皆春
春盈四海	花漫九州
年逢大有	日过小康
八方秀色	一室清辉
万事如意	五谷丰登
春回大地	日暖人间
门门喜气	户户春风
阳春燕舞	华夏龙兴
三阳开泰	四喜临门
一门五福	三多九如
风调雨顺	人寿年丰
人增寿算	天转阳和
一年肇始	百业兴隆
一声爆响	万里春回
人登寿域	世跻春台
人臻五福	花满三春
人游化日	天与长春
人增寿纪	天转阳和
九州国泰	六合春新
九州永泰	四季长春
三江春水	五岳青松
三江生色	四海呈祥
三山生色	五湖呈祥
与山同静	随地皆春
山间明月	江上春风
山川添秀	大地回春
山川毓秀	松柏长春
门迎百福	户纳千祥
天开长乐	人到恒春
天开文运	人喜春暘
天开化宇	人在春台
天涯月色	芳草春晖
开门纳福	举步迎春
日上花梢	莺穿柳带
日薰春杏	风送腊梅
风迎新岁	雪兆丰年
风调雨顺	国盛人和
牛耕绿野	虎啸青山
风光胜旧	岁序更新
六畜兴旺	五谷丰登
术有专攻	业精于勤
